start_date,trip_id,current_stop_sequence,arrival_time,departure_time,next_arrival_time,travel_time_second,producer_timestamp_ts
20250220,101561H0,7,2025-02-20 08:21:32,2025-02-20 08:21:32,2025-02-20 08:22:29,57.0,2025-02-20 08:22:16
20250220,101561H0,8,2025-02-20 08:22:29,2025-02-20 08:23:30,2025-02-20 08:24:31,122.0,2025-02-20 08:24:16
20250220,101561H0,9,2025-02-20 08:24:31,2025-02-20 08:25:32,2025-02-20 08:26:32,121.0,2025-02-20 08:26:16
20250220,101561H0,10,2025-02-20 08:26:32,2025-02-20 08:27:29,2025-02-20 08:28:30,118.0,2025-02-20 08:28:16
20250220,101561H0,11,2025-02-20 08:28:30,2025-02-20 08:28:30,2025-02-20 08:29:31,61.0,2025-02-20 08:29:16
20250220,101561H0,12,2025-02-20 08:29:31,2025-02-20 08:30:32,2025-02-20 08:31:32,121.0,2025-02-20 08:31:16
20250220,101561H0,13,2025-02-20 08:31:32,2025-02-20 08:32:29,,,2025-02-20 08:33:16
20250220,101575H0,13,2025-02-20 08:21:32,2025-02-20 08:22:29,,,2025-02-20 08:23:16
20250220,101577H0,1,2025-02-20 08:21:32,2025-02-20 08:22:29,2025-02-20 08:23:30,118.0,2025-02-20 08:23:16
20250220,101577H0,2,2025-02-20 08:23:30,2025-02-20 08:25:32,2025-02-20 08:26:32,182.0,2025-02-20 08:26:16
20250220,101577H0,3,2025-02-20 08:26:32,2025-02-20 08:27:29,2025-02-20 08:28:30,118.0,2025-02-20 08:28:16
20250220,101577H0,4,2025-02-20 08:28:30,2025-02-20 08:29:31,2025-02-20 08:30:32,122.0,2025-02-20 08:30:16
20250220,101577H0,5,2025-02-20 08:30:32,2025-02-20 08:31:32,2025-02-20 08:32:29,117.0,2025-02-20 08:32:15
20250220,101577H0,6,2025-02-20 08:32:29,2025-02-20 08:33:30,2025-02-20 08:34:31,122.0,2025-02-20 08:34:16
20250220,101577H0,7,2025-02-20 08:34:31,2025-02-20 08:34:31,2025-02-20 08:35:32,61.0,2025-02-20 08:35:16
20250220,101577H0,8,2025-02-20 08:35:32,2025-02-20 08:35:32,,,2025-02-20 08:36:15
20250220,101611T0,9,2025-02-20 08:21:32,2025-02-20 08:21:32,2025-02-20 08:22:29,57.0,2025-02-20 08:22:16
20250220,101611T0,10,2025-02-20 08:22:29,2025-02-20 08:23:30,2025-02-20 08:24:31,122.0,2025-02-20 08:24:16
20250220,101611T0,11,2025-02-20 08:24:31,2025-02-20 08:24:31,2025-02-20 08:25:32,61.0,2025-02-20 08:25:16
20250220,101611T0,12,2025-02-20 08:25:32,2025-02-20 08:26:32,2025-02-20 08:27:29,117.0,2025-02-20 08:27:15
20250220,101611T0,13,2025-02-20 08:27:29,2025-02-20 08:28:30,,,2025-02-20 08:29:16
20250220,101625T0,17,2025-02-20 08:21:32,2025-02-20 08:21:32,2025-02-20 08:22:29,57.0,2025-02-20 08:22:16
20250220,101625T0,18,2025-02-20 08:22:29,2025-02-20 08:23:30,2025-02-20 08:24:31,122.0,2025-02-20 08:24:16
20250220,101625T0,19,2025-02-20 08:24:31,2025-02-20 08:25:32,,,2025-02-20 08:26:16
20250220,101661K0,1,2025-02-20 08:26:32,2025-02-20 08:28:30,2025-02-20 08:29:31,179.0,2025-02-20 08:29:16
20250220,101661K0,2,2025-02-20 08:29:31,2025-02-20 08:30:32,2025-02-20 08:31:32,121.0,2025-02-20 08:31:16
20250220,101661K0,3,2025-02-20 08:31:32,2025-02-20 08:32:29,2025-02-20 08:33:30,118.0,2025-02-20 08:33:16
20250220,101661K0,4,2025-02-20 08:33:30,2025-02-20 08:35:32,,,2025-02-20 08:36:15
20250220,101667H0,1,2025-02-20 08:32:29,2025-02-20 08:35:32,,,2025-02-20 08:36:15
20250220,101681KB,11,2025-02-20 08:21:32,2025-02-20 08:22:29,2025-02-20 08:23:30,118.0,2025-02-20 08:23:16
20250220,101681KB,12,2025-02-20 08:23:30,2025-02-20 08:23:30,2025-02-20 08:24:31,61.0,2025-02-20 08:24:16
20250220,101681KB,13,2025-02-20 08:24:31,2025-02-20 08:25:32,2025-02-20 08:26:32,121.0,2025-02-20 08:26:16
20250220,101681KB,14,2025-02-20 08:26:32,2025-02-20 08:27:29,2025-02-20 08:28:30,118.0,2025-02-20 08:28:16
20250220,101681KB,15,2025-02-20 08:28:30,2025-02-20 08:29:31,2025-02-20 08:30:32,122.0,2025-02-20 08:30:16
20250220,101681KB,16,2025-02-20 08:30:32,2025-02-20 08:30:32,2025-02-20 08:31:32,60.0,2025-02-20 08:31:16
20250220,101681KB,17,2025-02-20 08:31:32,2025-02-20 08:32:29,2025-02-20 08:33:30,118.0,2025-02-20 08:33:16
20250220,101681KB,18,2025-02-20 08:33:30,2025-02-20 08:34:31,2025-02-20 08:35:32,122.0,2025-02-20 08:35:16
20250220,101681KB,19,2025-02-20 08:35:32,2025-02-20 08:35:32,,,2025-02-20 08:36:15
20250220,101685K0,3,2025-02-20 08:21:32,2025-02-20 08:22:29,2025-02-20 08:23:30,118.0,2025-02-20 08:23:16
20250220,101685K0,4,2025-02-20 08:23:30,2025-02-20 08:24:31,2025-02-20 08:25:32,122.0,2025-02-20 08:25:16
20250220,101685K0,5,2025-02-20 08:25:32,2025-02-20 08:26:32,2025-02-20 08:27:29,117.0,2025-02-20 08:27:15
20250220,101685K0,6,2025-02-20 08:27:29,2025-02-20 08:28:30,2025-02-20 08:29:31,122.0,2025-02-20 08:29:16
20250220,101685K0,7,2025-02-20 08:29:31,2025-02-20 08:30:32,2025-02-20 08:31:32,121.0,2025-02-20 08:31:16
20250220,101685K0,8,2025-02-20 08:31:32,2025-02-20 08:32:29,2025-02-20 08:33:30,118.0,2025-02-20 08:33:16
20250220,101685K0,9,2025-02-20 08:33:30,2025-02-20 08:34:31,2025-02-20 08:35:32,122.0,2025-02-20 08:35:16
20250220,101685K0,10,2025-02-20 08:35:32,2025-02-20 08:35:32,,,2025-02-20 08:36:15
20250220,101737N0,1,2025-02-20 08:24:31,2025-02-20 08:27:29,2025-02-20 08:28:30,239.0,2025-02-20 08:28:16
20250220,101737N0,2,2025-02-20 08:28:30,2025-02-20 08:29:31,2025-02-20 08:30:32,122.0,2025-02-20 08:30:16
20250220,101737N0,3,2025-02-20 08:30:32,2025-02-20 08:31:32,2025-02-20 08:32:29,117.0,2025-02-20 08:32:15
20250220,101737N0,4,2025-02-20 08:32:29,2025-02-20 08:33:30,2025-02-20 08:34:31,122.0,2025-02-20 08:34:16
20250220,101737N0,5,2025-02-20 08:34:31,2025-02-20 08:35:32,,,2025-02-20 08:36:15
20250220,101751K0,1,2025-02-20 08:34:31,2025-02-20 08:35:32,,,2025-02-20 08:36:15
20250220,101759TA,7,2025-02-20 08:21:32,2025-02-20 08:22:29,,,2025-02-20 08:23:16
20250220,101761T0,3,2025-02-20 08:21:32,2025-02-20 08:21:32,2025-02-20 08:22:29,57.0,2025-02-20 08:22:16
20250220,101761T0,4,2025-02-20 08:22:29,2025-02-20 08:24:31,2025-02-20 08:25:32,183.0,2025-02-20 08:25:16
20250220,101761T0,5,2025-02-20 08:25:32,2025-02-20 08:26:32,2025-02-20 08:27:29,117.0,2025-02-20 08:27:15
20250220,101761T0,6,2025-02-20 08:27:29,2025-02-20 08:29:31,2025-02-20 08:30:32,183.0,2025-02-20 08:30:16
20250220,101761T0,7,2025-02-20 08:30:32,2025-02-20 08:32:29,2025-02-20 08:33:30,178.0,2025-02-20 08:33:16
20250220,101761T0,8,2025-02-20 08:33:30,2025-02-20 08:34:31,2025-02-20 08:35:32,122.0,2025-02-20 08:35:16
20250220,101761T0,9,2025-02-20 08:35:32,2025-02-20 08:35:32,,,2025-02-20 08:36:15
20250220,101763K0,5,2025-02-20 08:21:32,2025-02-20 08:21:32,2025-02-20 08:22:29,57.0,2025-02-20 08:22:16
20250220,101763K0,6,2025-02-20 08:22:29,2025-02-20 08:24:31,2025-02-20 08:25:32,183.0,2025-02-20 08:25:16
20250220,101763K0,7,2025-02-20 08:25:32,2025-02-20 08:27:29,,,2025-02-20 08:28:16
20250220,101767K0,1,2025-02-20 08:29:31,2025-02-20 08:32:29,2025-02-20 08:33:30,239.0,2025-02-20 08:33:16
20250220,101767K0,2,2025-02-20 08:33:30,2025-02-20 08:34:31,2025-02-20 08:35:32,122.0,2025-02-20 08:35:16
20250220,101767K0,3,2025-02-20 08:35:32,2025-02-20 08:35:32,,,2025-02-20 08:36:15
20250220,101779K0,1,2025-02-20 08:21:32,2025-02-20 08:22:29,2025-02-20 08:23:30,118.0,2025-02-20 08:23:16
20250220,101779K0,2,2025-02-20 08:23:30,2025-02-20 08:23:30,2025-02-20 08:24:31,61.0,2025-02-20 08:24:16
20250220,101779K0,3,2025-02-20 08:24:31,2025-02-20 08:25:32,2025-02-20 08:26:32,121.0,2025-02-20 08:26:16
20250220,101779K0,4,2025-02-20 08:26:32,2025-02-20 08:28:30,2025-02-20 08:29:31,179.0,2025-02-20 08:29:16
20250220,101779K0,5,2025-02-20 08:29:31,2025-02-20 08:30:32,2025-02-20 08:31:32,121.0,2025-02-20 08:31:16
20250220,101779K0,6,2025-02-20 08:31:32,2025-02-20 08:32:29,2025-02-20 08:33:30,118.0,2025-02-20 08:33:16
20250220,101779K0,7,2025-02-20 08:33:30,2025-02-20 08:35:32,,,2025-02-20 08:36:15
20250220,101813H0,1,2025-02-20 11:11:01,2025-02-20 11:12:01,2025-02-20 11:13:02,121.0,2025-02-20 11:12:28
20250220,101813H0,2,2025-02-20 11:13:02,2025-02-20 11:13:59,2025-02-20 11:15:00,118.0,2025-02-20 11:14:34
20250220,101813H0,3,2025-02-20 11:15:00,2025-02-20 11:16:01,2025-02-20 11:17:02,122.0,2025-02-20 11:16:39
20250220,101813H0,4,2025-02-20 11:17:02,2025-02-20 11:18:02,2025-02-20 11:18:59,117.0,2025-02-20 11:18:45
20250220,101813H0,5,2025-02-20 11:18:59,2025-02-20 11:20:00,2025-02-20 11:21:01,122.0,2025-02-20 11:20:50
20250220,101813H0,6,2025-02-20 11:21:01,2025-02-20 11:21:01,2025-02-20 11:22:30,89.0,2025-02-20 11:21:53
20250220,101813H0,7,2025-02-20 11:22:30,2025-02-20 11:23:03,2025-02-20 11:24:32,122.0,2025-02-20 11:23:59
20250220,101813H0,8,2025-02-20 11:24:32,2025-02-20 11:25:00,2025-02-20 11:26:29,117.0,2025-02-20 11:26:04
20250220,101813H0,9,2025-02-20 11:26:29,2025-02-20 11:27:30,2025-02-20 11:28:31,122.0,2025-02-20 11:28:09
20250220,101813H0,10,2025-02-20 11:28:31,2025-02-20 11:29:32,2025-02-20 11:30:29,118.0,2025-02-20 11:30:15
20250220,101813H0,11,2025-02-20 11:30:29,2025-02-20 11:30:29,2025-02-20 11:32:02,93.0,2025-02-20 11:31:17
20250220,101813H0,12,2025-02-20 11:32:02,2025-02-20 11:32:30,2025-02-20 11:34:00,118.0,2025-02-20 11:33:23
20250220,101813H0,13,2025-02-20 11:34:00,2025-02-20 11:35:01,,,2025-02-20 11:35:28
20250220,101833H0,8,2025-02-20 11:06:29,2025-02-20 11:07:30,2025-02-20 11:08:31,122.0,2025-02-20 11:08:17
20250220,101833H0,9,2025-02-20 11:08:31,2025-02-20 11:09:31,2025-02-20 11:11:01,150.0,2025-02-20 11:10:22
20250220,101833H0,10,2025-02-20 11:11:01,2025-02-20 11:11:01,2025-02-20 11:12:01,60.0,2025-02-20 11:11:25
20250220,101833H0,11,2025-02-20 11:12:01,2025-02-20 11:13:02,2025-02-20 11:13:59,118.0,2025-02-20 11:13:31
20250220,101833H0,12,2025-02-20 11:13:59,2025-02-20 11:15:00,2025-02-20 11:16:01,122.0,2025-02-20 11:15:36
20250220,101833H0,13,2025-02-20 11:16:01,2025-02-20 11:16:01,,,2025-02-20 11:16:39
20250220,101923N0,3,2025-02-20 11:06:29,2025-02-20 11:06:29,2025-02-20 11:07:30,61.0,2025-02-20 11:07:14
20250220,101923N0,4,2025-02-20 11:07:30,2025-02-20 11:09:31,2025-02-20 11:11:01,211.0,2025-02-20 11:10:22
20250220,101923N0,5,2025-02-20 11:11:01,2025-02-20 11:11:01,2025-02-20 11:12:01,60.0,2025-02-20 11:11:25
20250220,101923N0,6,2025-02-20 11:12:01,2025-02-20 11:13:02,2025-02-20 11:13:59,118.0,2025-02-20 11:13:31
20250220,101923N0,7,2025-02-20 11:13:59,2025-02-20 11:15:00,2025-02-20 11:16:01,122.0,2025-02-20 11:15:36
